date,bitcoin,ethereum,tether,binance-usd,solana,usd-coin,ripple,dogecoin,cardano,shiba-inu
2015-04-04,63959131.20365665,0.0,8887.0,0.0,0.0,0.0,303696.99999999994,29687.461187524965,0.0,0.0
2015-04-05,82969308.75347461,0.0,2018.0,0.0,0.0,0.0,195218.4706475665,67830.6386435785,0.0,0.0
2015-04-06,83832524.03554013,0.0,3137.0,0.0,0.0,0.0,455711.4616083313,39017.374653131126,0.0,0.0
2015-04-07,88508043.4273131,0.0,4.0,0.0,0.0,0.0,975135.9998169838,36241.4941020314,0.0,0.0
2015-04-08,106548662.28337549,0.0,19191.0,0.0,0.0,0.0,870230.010522841,43220.55229108568,0.0,0.0
2015-04-09,93749435.17178354,0.0,1016.0,0.0,0.0,0.0,705618.2752189654,45382.36441507407,0.0,0.0
2015-04-10,110710603.09814689,0.0,100940.0,0.0,0.0,0.0,529357.2168632427,55845.22068603766,0.0,0.0
2015-04-11,87634999.71721902,0.0,1031.0,0.0,0.0,0.0,291629.27899655263,34875.40735698452,0.0,0.0
2015-04-12,62271722.260468975,0.0,3177.0,0.0,0.0,0.0,199152.21485905632,24847.78903231777,0.0,0.0
2015-04-13,87796699.14598,0.0,1228.0,0.0,0.0,0.0,350339.0200351952,50217.774624673,0.0,0.0
2015-04-14,109539415.0915327,0.0,46015.0,0.0,0.0,0.0,576876.991754047,69576.45613585963,0.0,0.0
2015-04-15,71588917.36395298,0.0,50290.0,0.0,0.0,0.0,364410.9240620249,52107.49835445686,0.0,0.0
2015-04-16,88471192.53868681,0.0,40941.0,0.0,0.0,0.0,258195.4592438544,49525.42352433848,0.0,0.0
2015-04-17,101386584.09915563,0.0,46909.0,0.0,0.0,0.0,277507.10377971444,52561.38841158783,0.0,0.0
2015-04-18,70165374.02114585,0.0,50.0,0.0,0.0,0.0,181624.33430733008,21792.57092203075,0.0,0.0
2015-04-19,58633108.40665714,0.0,44.0,0.0,0.0,0.0,227824.29629224056,29533.39974057848,0.0,0.0
2015-04-20,63561423.223313816,0.0,21.0,0.0,0.0,0.0,672612.4775347251,48398.18611012488,0.0,0.0
2015-04-21,80763824.9531341,0.0,16.0,0.0,0.0,0.0,637786.2103424026,47547.87478822476,0.0,0.0
2015-04-22,72515582.86551493,0.0,85933.0,0.0,0.0,0.0,623316.0719842911,65550.58366173854,0.0,0.0
2015-04-23,55130032.39951651,0.0,40294.0,0.0,0.0,0.0,369870.03604514967,51429.99579165283,0.0,0.0
2015-04-24,73282646.18860614,0.0,21625.0,0.0,0.0,0.0,428945.4964011491,78423.71531444049,0.0,0.0
2015-04-25,58830426.88734985,0.0,205.0,0.0,0.0,0.0,287289.59217455995,37458.26372920749,0.0,0.0
2015-04-26,96999963.63035092,0.0,82.0,0.0,0.0,0.0,498330.3330935268,67470.5740955757,0.0,0.0
2015-04-27,95409417.4905671,0.0,2045.0,0.0,0.0,0.0,787016.9210178633,72033.55090402171,0.0,0.0
2015-04-28,71643965.12343475,0.0,22881.0,0.0,0.0,0.0,581629.4462958049,35401.02126639349,0.0,0.0
2015-04-29,56781693.77813109,0.0,30237.0,0.0,0.0,0.0,544565.5318157672,39604.88330224853,0.0,0.0
2015-04-30,103785827.2593271,0.0,47.0,0.0,0.0,0.0,583316.9814553239,54144.80924376014,0.0,0.0
2015-05-01,74708330.707501,0.0,617.0,0.0,0.0,0.0,632072.1372709452,94331.04368541688,0.0,0.0
2015-05-02,61431426.38713984,0.0,3.0,0.0,0.0,0.0,100326.29376356912,53063.62389766017,0.0,0.0
2015-05-03,86630763.25450982,0.0,12.0,0.0,0.0,0.0,435646.4558642411,85958.36569641423,0.0,0.0
2015-05-04,84138462.79309112,0.0,1547.0,0.0,0.0,0.0,262166.722504872,60677.14603890436,0.0,0.0
2015-05-05,71871894.07356025,0.0,83139.0,0.0,0.0,0.0,563851.8377333258,60213.29936873516,0.0,0.0
2015-05-06,70623213.73756033,0.0,23.0,0.0,0.0,0.0,505242.1261687293,42482.0372925374,0.0,0.0
2015-05-07,74887945.15831198,0.0,11.0,0.0,0.0,0.0,2159727.763731245,34793.81874823975,0.0,0.0
2015-05-08,79882346.22687149,0.0,119.0,0.0,0.0,0.0,437391.4552906824,37243.80363047004,0.0,0.0
2015-05-09,79529081.71071678,0.0,707.0,0.0,0.0,0.0,182288.74980789467,36147.68325553108,0.0,0.0
2015-05-10,67810639.80677219,0.0,2518.0,0.0,0.0,0.0,554266.4159916029,46572.36043877657,0.0,0.0
2015-05-11,70787411.31238237,0.0,100.0,0.0,0.0,0.0,441133.091549178,51278.708296785946,0.0,0.0
2015-05-12,60882937.62553394,0.0,484.0,0.0,0.0,0.0,966734.4412227006,175089.7161226691,0.0,0.0
